username,playtime,content,recommended,owned_products,found_helpful
Indypal,0.7 hrs on record,"Posted: August 25
Bro. Not even worth it at 60% off for $24.00. It took 15 minutes just to get through the opening screen with no way to skip it. Finally get into the game and the first thing is to change my appearance. Even that was super clunky and not intuitive, at all.

Figured it out and had to go talk to the main pirate guy but the cut scenes just look awful (and there is a pointlessly long load time for each). I do not know how to describe the look of this game other than square edged, low quality renderings. 100% immersive breaking. Well, as soon as I accepted the very first quest, the game crashed.

Yep, gimme my 24 bucks back. Thanks but no thanks.

<GAME OVER>",推荐,,"21 people found this review helpful
2 people found this review funny 2"
PretendPrawn,17.6 hrs on record,"Posted: August 25
Honestly not bad so far, If you are looking for a pirate game that you can play with your friends with a focus on PVE this could be a solid game for you. Don't buy this game expecting it to be AC black flag 2, that's not what this is. All of the combat is navel combat, no on foot combat and no boarding combat. The ship combat is very good tho, you have an array of weapons and ships to choose from, you've got your tanks, supports, and dps ships, and you have cannons, mortars, mine layers, long-range cannons, even guns that heal allies.
You will meet an array of characters that guide you through your pirate adventure, some people say the voice acting is bad but I'm not sure what they are talking about, the voice acting is solid. While you are not glued to your ship, you will have the opportunity to walk around towns as your pirate to interact with shops and other players, They are like your hub worlds. For those of you scarred about a repeat of Sea of Thieves this game has a pvp flag that you must raise at a hub in order to attack and receive damage from other players so don't worry about getting griefed by high-level players.I did think it was weird to limit it to three players a party instead of 4. The game kind of wants to be a mmo with the way classes and weapons along with leveling are set up.
The combat is fun and intense, the boarding minigame has some room for improvement as all you do it throw a hook onto the enemy ship but its quite literally hit or miss and I can figure out the method to ensure it lands.
Right now the game is in a really good state as of now and I will admit it had a rough launch but look at Sea of Thieves, that game had a disastrous launch, and its an amazing game now, no doubt if Ubisoft puts in the effort this game can also be really great game. But overall I'd say the game is worth getting, haven't experienced any crashes or game-breaking bugs so its been a clean experience.

Update: I've spent some time playing the game and it is extremely fun
Don't listen to the bad reviews this game is worth a play
end of the day if you like a focus on boarding a on foot combat but lacking inn navel combat play sea of thieves if you want a focus on naval combat but lacking on foot/boarding then skull and bones is for you
I would love to see larger ships enter the game in the future",推荐,429 products in account,4 people found this review helpful 0
Tuxedio,8.7 hrs on record,"Posted: August 27
lowkey to all the people that are looking at this game, its more of a preference game. I absolutely love it, but that's because I was looking for a ship fighting game on its own, and I also enjoy slowly making an ultra strong thing (ship in this case) over time. So hey if you love ship battles and have a power fantasy this is the game for you!!",推荐,,3 people found this review helpful 0
1nfected,0.7 hrs on record,"Posted: August 26
Product refunded

The firs time i launched it, it got crashed. i dont even got to see the game play. :(",推荐,,3 people found this review helpful 0
Groutar Ton Savoy,18.4 hrs on record,"Posted: August 26
Ну много конечно чего не хватает в отличии от тех же Корсаров, нельзя захватывать корабли, абордаж слишком упрощен, нет сухопутных боев.. Это все хотелки, но в целом играть можно, тем более по скидке в -60%",推荐,199 products in account,3 people found this review helpful 1
PTDT0802,11.9 hrs on record,"Posted: August 26
tis good",推荐,,1 person found this review helpful 0
SolidusPrime,17.1 hrs on record,"Posted: August 25
I never played Assassin's Creed Black Flag, so I went into this with absolutely no expectations. I am liking it a lot so far. It's like a RPG, but your ship is the character. It's a fun time waster for sure.",推荐,,3 people found this review helpful 0
Aqua715,0.7 hrs on record,"Posted: August 24
Product refunded

I refunded this game because it just seemed kind of boring to me. If you want to sail around and shoot other boats with simple controls, this is perfect for you. I just got bored after about 45 minutes because there wasn't much to it. Definitely buy it on sale.",推荐,,"18 people found this review helpful
7 people found this review funny 5"
Gnomeo,23.1 hrs on record,"Posted: August 26
Je ne recommande pas ce jeu pour les raisons suivantes : (il y a quand même un peu de positif a la fin ^^)
- Aucun combat au CAC, pas d’arme, uniquement des batailles navales. Même lors des abordages de navires, aucun combat, une pauvre anime de l’abordage … donc que la maps soit pas « parcourable » à pied parce que ce n’est pas le propo du jeu et que surement « FLEMME », mais bon un pistolet ? Pour un jeu de pirate, pas de sabre, pas de pistolet, ça fait très mal.
- Le jeu est vide de joueurs, malgré une promotion de 60%. Dommage pour un jeu axé sur le multi. Bonne chance a vous pour trouver quelqu’un pour faire des activités … surtout que ces activités multi sont du coup infaisable en solo (ou alors il faut avoir un niveau bien supérieur au bots)
- Certaines quêtes importantes ne se mettent pas à jours. Les indications et les tutoriaux bugent, donc quand on revient parce que le jeu a planté, bah « bonne chance », je suis passé absolument à côté de la gestion de colonie grâce à cela.
- Des bugs absolument insupportables, du type : téléportation en continue sur un point de la carte … j’ai rage quitté car après presque 20h de jeu, je me fais téléporter en boucle et cela même en relançant le jeu / pc … je sais pas si je vais relancer ce jeu.
- Beaucoup trop de ressource monétaire différente, ainsi que de « farming »
- L’interface est bugée de partout (en plus de lagé)… que cela soit les menu ou le chargement des vendeurs, si on va trop vite, il ne charge pas tous donc vous pouvez vendre, mais rien ne se passe … Ou bien au clique sur un bouton, rien ne change (aucune indication visuel), on ne sait pas si cela a fonctionné ... le chat est contre intuitif, « N » pour y accéder (WTF), et on n’a pas le focus sur le champ texte, inutile de cliquer dessus, je vous révèle la solution, il faut taper du texte pour avoir le focus …. Si vous cliquer sur un élément par-dessus la carte, attention, ça clique aussi en-dessous et donc vous avez régulièrement la surprise de vous téléporter … bref ce n’est pas la folie, cela snif le jeux console mal adapter … dommage pour un AAAA
- Même le site de support pour rapporter un bug est mal fait, on a accès un « tableau de board » type jira, mais c’est tous, pas la possibilité de rapporter quoique soit, donc vous êtes gentiment redirigé vers un discord (dont le lien n’est même pas cliquable sur le site) qui est intégralement cassé.
- 10 pauvres bateaux différents …
- Pas de gestion de flotte …

Globalement vous allez être frustré de jouer à ce jeu.

Bon sinon voici la raison qui fait que j’ai quand même +20 heures de jeux : les batailles navales sont fort sympathiques, la navigation maritime est très appréciable au niveau visuel et sonore (les chants des matelots, la mer qui est très bien faite, les mouvements des bateaux).

Donc pour les fous de piraterie ou les joueurs occasionnels, passez votre chemin et relancer AC Black flag.",推荐,,4 people found this review helpful 0
DoorThief,23.2 hrs on record,"Posted: August 26
I recommend, IF you get it on sale. It has a decent RPG element and role specialization. The story is... barely there. Combat feels good. The naval warfare feels like World of Warships, and collaboration feels good. The enemy AI also feels challenging and rewarding when defeated.",推荐,,2 people found this review helpful 0
Ulfdar,13.9 hrs on record,"Posted: August 25
Great pirate game....You can rob and loot merchants or be a merchant yourself. love the ability to customize your ships / self / and crew! Multiple different types of ships and lots of exploration! 8 out of 10 all day long and I'm only 7 hours in!",推荐,220 products in account,"3 people found this review helpful
5 people found this review funny 0"
njwoolmington,3.1 hrs on record,"Posted: August 25
AC Black flag was and is the best pirate game of all time and to compare the two is like comparing GTA with RDR2 it shouldn't be done. That said its not great but it isn't bad neither. Instead of people judging it on AC black flag judge it for its own worth. I brought it on offer today for £30 premium edition and i'm happy with what i paid for for it. For the price it is now i would definitely recommend it to people.",推荐,,2 people found this review helpful 0
CaptainCap,3.5 hrs on record,"Posted: August 25
I get the hate a little bit behind the fact theres 0 hand to hand combat but the actual ship combat makes up for it 10 fold, sure its not everything they promised back in 2015 but honestly ubisoft could have done a much worse job with this release. Overall a fun game with a grabbing story immediately, you're thrown into John Scurlocks crew and have many of missions to complete for him. Been enjoying it so far and ive had ONE MAJOR BUG the entire time i've played, the game has a tendency to crash when youre editing your ship and the weapons on it, unsure why but i've had it crash 3 times in this screen within my 3 hours of play time so far. Give this game a go if you loved black flags naval combat but if youre looking for hand to hand combat stay away from Skull and Bones.",推荐,111 products in account,3 people found this review helpful 2
Gnobolino,4.0 hrs on record,"Posted: August 27
Great.

♥♥♥♥ the connect manager, though.",推荐,,1 person found this review helpful 0
GeneralWilbur,17.1 hrs on record,"Posted: August 25
Graphics are Ok, its really detailed until the textures get seperated into rendering squares and aren't smoothed together properly, otherwise i love the game and it's gameplay.",推荐,,"3 people found this review helpful
1 person found this review funny 0"
Devrim,7.5 hrs on record,"Posted: August 26
Oyunu indirimde 14 $ civarına satın aldım, bence keyifli. SoT ile kıyaslayacak olursak bu burada aksiyon denizde geçiyor. SoT ve WoWarships karışımı olmuş. Grafikler mükemmel. Denemek isterseniz ekleyin beraber oynayalım.",推荐,99 products in account,1 person found this review helpful 0
Gonzarion,7.0 hrs on record,"Posted: August 25
YARRR!",推荐,157 products in account,2 people found this review helpful 0
Doom,18.7 hrs on record,"Posted: August 24
배 키우기. 기대를 안해서 그런지 뇌 빼고 하니 재밌다. 자잘한 버그가 좀 있음.",推荐,,2 people found this review helpful 0
Lillianaathena,2.5 hrs on record,"Posted: August 27
When the game first released I played it heavily with a ubisoft + subscription. Now getting to own the game and keep enjoying pirate adventures is perfect. I love the game play and how you can choose to have PVP on or off. I prefer to leave it as PvE and enjoy all the new challenges and missions as you play further into the game.",推荐,,1 person found this review helpful 0
Talernar,23.9 hrs on record,"Posted: August 25
been waiting a bit for this game and i find it not that bad give the feel of assassins creed black flag with the navel combat system to boot not been playing long but take a little getting in to and the first few quest unlocks things slowly so dont worry if your starting you will be able to do more as you progress story quests hope to have many hours of fun playing with friend and meet new people

after more playing starting to get in to the end game and group missions and events and the game just keeps getting more and more interesting",推荐,,3 people found this review helpful 0
✠ Wandering_Warden,12.8 hrs on record,"Posted: August 25
I just bought the game yesterday and I have to say all in all it isn't perfect but still fun.
From what I have seen so far I'd set the price for the game between 30 to 35 bucks.
I still hope that they bring back the AC4 feeling of combat, the ability to roam the ships and islands.

The next thing they should do is rework the resource gathering.
Maby when exploring an island, order your crew to gahter the resources available in the location. As in the longer you stay the bigger the haul.
There is soo much potential in the game to ramble about.

I pray to athena's fortune that they make use of it.
Save travels fellow Legends",推荐,,"3 people found this review helpful
2 people found this review funny 0"
Cleeper1123,4.3 hrs on record,"Posted: August 26
ＭＭＯ海賊ＲＰＧという史上初の組み合わせ
商船を襲って商品を奪ったり、隠された宝を見つけたり、敵対する海賊と戦ったりできるオープンワールド

開始して暫くはソロ
メインストーリーをクリアするか、大海賊（最高ランク）になるとＰｖＰが解放される
そのおかげで初心者狩りに遭う事は無い
友達と遊びたければ、ＮＰＣ相手にＣＯＯＰする事ができる（最初から可能）

別の作品や実在の人物を匂わせる要素が散りばめられている
何て事もないＮＰＣの台詞が、分かる人にしか分からないネタだったりする

航海中、乗組員がプレイヤーの行動に対して声を挙げる事が有る
出航に際して「野郎ども、船を出せ！」と言ったり、加速する時に「帆を張れ！　風を掴め！」と言ったり
また、「歌う」コマンドで海賊モチーフの歌（実在）を乗組員に歌わせる事ができる
乗組員が増えると歌も賑やかになっていく
オープンワールド特有の退屈な移動（航海）も仲間が居れば楽しい旅路に変わる",推荐,162 products in account,"1 person found this review helpful
1 person found this review funny 0"
Kleo Reno,33.7 hrs on record,"Posted: August 25
Un bon jeu si on s'attends pas a un AC 4 blackflag online, avec du potentiel qui est améliorer a chaque saison, franchement pour le prix en réduction il vaut le coup, et j'ose espérer qu'il vaudras un jour le 60€ qu'il coute sans réductions si ubi continue sur cette voie de l'amélioration, et que le jeu nous ferras une remontada a la No Man Sky (surement pas une remontada aussi enorme, mais j'ose espérer une grande amélioration quand même)",推荐,510 products in account,5 people found this review helpful 1
El_Droidio,29.6 hrs on record,"Posted: August 25
Not as bad as a lot of people said it was, but not good either. Combat is well made, but but the rest of the game feels a bit empty. It was worth the £20 I spent on it, but Id be mad if I had paid £60 for it.",推荐,,"4 people found this review helpful
1 person found this review funny 0"
shadowking3231,14.1 hrs on record,"Posted: August 26
defentily reccomend this game if its on sale i only have 9hrs but theres so much to do
im having a blast with it and i think you will to
this is a pirate ship game just incase you guys/girls didnt know",推荐,,1 person found this review helpful 0
Naejimer,0.4 hrs on record,"Posted: August 24
Black Flag 0.5...",推荐,,"25 people found this review helpful
1 person found this review funny 3"
Ambenir,40.2 hrs on record,"Posted: August 25
I like it. It's fun, but buy it on sale.",推荐,881 products in account,"2 people found this review helpful
2 people found this review funny 0"
Senpai der Plagen,6.6 hrs on record,"Posted: August 27
Es ist nicht schlecht",推荐,312 products in account,No one has rated this review as helpful yet 0
Milkano,1.3 hrs on record,"Posted: August 26
Product refunded

поиграл в данный ""шедевр"" от юбиков, от игры у меня не было каких либо ожиданий, графика мыльная на ультрах, прорисовка на уровне корабля только, однотипные квесты, потопи собери передай и тд. игра разочаровала",推荐,,4 people found this review helpful 0
LISEK,10.8 hrs on record,"Posted: August 24
Wygląda mi to na przypadek Fallouta 76. Dajmy twórcom kilka lat. A teraz, jeśli ktoś nie ma zbyt wysokich oczekiwań to przyjemnie spędzi czas na Morzu Indyjskim. Fajnie się pływa i zatapia innych graczy oraz jest dużo misji do zrobienia. Polecam.",推荐,30 products in account,"17 people found this review helpful
9 people found this review funny 5"
The Void Wanderer,1.7 hrs on record,"Posted: August 24
The game is decent. That's about it. I played the closed beta, along with the free trial, which didn't end for me as I was able to play it longer than I was meant to, before finally it stopped working. So, I picked it up on sale when it released on steam. The game is all about your ship, there are on-foot sections, but they are either just in a safe zone, or you can roam around gathering resources. The movement is clunky and annoying though, so it kinda sucks.

The ship crafting and customization is where it gets pretty fun! You can really make your ship your own, building it how you want. You want to be a speedy bugger that rams? Go for it! You wanna tank and have giant shotgun cannons? Yup! It is very relaxing roaming around in your ship, doing some trading, and listening to sea shanties.

This game should have been a next gen Sea of Thieves, but was not. If you enjoy roaming around on a ship, hunting down pirates and trading, pick it up on a hefty sale. 30 bucks at MAX.",推荐,501 products in account,"8 people found this review helpful
3 people found this review funny 1"
Exelia Noctalia,14.1 hrs on record,"Posted: August 26
yup ,
je recommande le jeux , de mon point de vue il est un mélange des batailles navales de assassin's creed odyssey et de celles de valhalla ,
avec possibilité de custom son vaisseau en décoration et build ,
les pillages de villes sont fun , en mode tortue a défoncer tout ce qui approche ,
les batailles navales sont sympas ,
tout les bateaux ont des passif propre mais surtout une maniabilité propres , le petit de soutien par exemple peut se soigner et soigner les allier mais est une enclume en maniabilité , c'est simple , une fois lancer il tourne pas ... du tout , donc meilleurs en combat statique ,
le choix des armes , leurs placement dépendent de notre façon de jouer ,
j'ai passer un très bon moment hier , 10h bonnes heures d'un coup , pas de bugs , pas de problèmes d'optimisations , juste un bon moment , juste un succès steam qui semble pas vouloir s'activer , celui ou on doit couler un navire mais pas le looter , pour le reste tout est bon",推荐,198 products in account,1 person found this review helpful 0
NeroTheAngel,0.4 hrs on record,"Posted: August 27
The last time I heard about this game was 2018 and then I lost complete track of the game till a week ago where someone told me its out on Steam. So I checked it out and most people said its a trash game.
What really confused me was that people who reviewed it on youtube said its a fun game and the gameplay looked fun and appealing to me. Since the game was for 24 Bucks on Steam I thought to check it out but wasnt sure. This were when someone told me that you can play a Free 6 hour demo on Ubiconnect.
So I tried it out and played 4 hours straight and after that I bought it on Steam.

The game is not bad. In no way. Actually the game is pretty fun. Is it a AAAA-Game? Of course not! It is a normal live service game like others it has it flaws but also it qualities. The Naval gameplay aka sailing your ship, upgrading it and fight on Sea is really well made and fun. The only little bummer is that there are many loading screens and little cutscenes/Animations which you cant skip. The loadingscreens mostly take 2 or 3 seconds which lead me to the question why you have to put a loadingscreen there and not build the game as a whole map like in sea of thieves? But well since they are so short its not that bad. The animations can be a bit frustrating. Everytime you board an enemy ship you dont do it by yourself but an animation is played which you cant skip.
So unlike in Sea of Thieves you dont really play as a person but as a ship with their crew. Which is not bad. Like I said its fun but its way different than in Sea of Thieves and people should be aware of it.

I personally think when Ubisoft would have been more down to earth with the marketing and maybe would it make F2P, since its a Live Service Game they can still earn alot of moneys people wouldnt be mad about the game and wouldnt downvote it so much.
That there is no man to man combat with swords and pistols is not a problem. I must say I like it how it is. The fact that the naval combat is well thought makes the game more unique.

And we dont need to talk about the graphic. Its stunning. The game is really beautiful.

EDIT: One thing I forgot to mention is that the world feels really alive. the oceans are not empty. Beside the other player you have alot of NPC ships sailing around. Either just patroling or transport cargo which you can all attack and plunder. There are even different faction which can attack each other so you sail on the open sea and see on the horizon a few NPC ships battling against each other. There are different weather conditions too like storm and there are sea monsters and many world events.

So here my Fazit:
Its not a AAAA-Game but its still a good and fun game. Its not a Sea of Thieves clone since you play more your ship with crew and less a individual character but this is not bad. On this way it has more its own identity. Many loadingscreens and unskipable animations which can be a bit annoying but they are just a few seconds long so its not that bad. No man to man combat but the game dont need this.

I really hope the game will survive and gets a lot support from the developer since its really a nice game. They just had to be more down to earth with it back then.
Graphics and animations/effects are really beautiful.",推荐,,"1 person found this review helpful
1 person found this review funny 0"
Satyriasis,29.0 hrs on record,"Posted: August 26
Not bad",推荐,,"No one has rated this review as helpful yet
1 person found this review funny 0"
Corny,10.3 hrs on record,"Posted: August 26
Läuft prima auf dem Steam Deck & macht bis jetzt echt viel Spaß.",推荐,293 products in account,No one has rated this review as helpful yet 0
⨢I̟N̟V̟A̟D̟E̟R̟⨢,5.7 hrs on record,"Posted: August 25
For me is a good game. Ofc a little bit more things to do can be added. Like land fights..",推荐,,"5 people found this review helpful
1 person found this review funny 0"
TTDigitaL,18.3 hrs on record,"Posted: August 25
“Not all treasure’s silver and gold, mate.”",推荐,68 products in account,"3 people found this review helpful
1 person found this review funny 0"
TL,2.3 hrs on record,"Posted: August 24
If u played a game called seafight back in the day then this is for you! It's basically seafight with modern graphics.",推荐,,"3 people found this review helpful
1 person found this review funny 1"
El Guapo,24.8 hrs on record,"Posted: August 26
very fun, good cosmetics, excellent combat and visuals",推荐,,"3 people found this review helpful
2 people found this review funny 0"
Marauder,8.4 hrs on record,"Posted: August 26
Klar hat das Spiel ein paar Schwächen aber auch viele Stärken. Mir bereitet es Spaß. Für einen 24 € einführungspreis muss man nicht meckern. Im Kern ist das doch ein Grundsolides Spiel. Hauptsache kein ****** early Access titel.",推荐,,No one has rated this review as helpful yet 0
Wylde Fox'ache,19.5 hrs on record,"Posted: August 24
I think the key to this game is what you expect. Literally your expectations matter. Ships do feel like AC4 but that's all about it. I actually loved and welcomed a few changes... And while moving about on land feels odd and unnecessary, it also adds to the pirate feeling. No, you can't climb buildings, you can't even climb your own ship... But that's not the game's focus. And if you've come from AC4, you're constantly get reminded of it.

I for one like the fact that I don't have to jump off the ship to loot some islands on the shore. That takes time... Sure, it'd be a nice addition. As well as ""plundering"" villages is simplifyed into a holdout. Maybe Ubi can try adding, expanding on these fronts if they are able to listen.

However. This is a Pirate Ship game. Not a Pirate game. And I believe it does what it intends to do: A grindy Ubi game that has lots to see and lots to do.",推荐,,4 people found this review helpful 0
咖喱麦包curry,1.3 hrs on record,"Posted: August 25
关注我们 甄游组 第一印象 免费游戏

曾几何时《刺客信条：黑旗》中的海战和航海要素，让多少玩家好评如潮并且强烈要求制作组把航海单拿出来做成一个游戏，如今它真的来了！我们的《碧海黑帆》！游戏中你将成为一名海盗，在17世纪的印度洋烧杀抢掠，做大做强，创造一个新的大海盗时代！
在育碧高质量美术的加持下，游戏画面没得说，热带气候地形地貌刻画的非常到位，驾驶海盗船航行在一望无垠的大海上，听着时不时出现的船歌，到不知名的小岛上探险，抢劫路过的官船，劫掠小村庄，认识各路豪强大海贼，基本就是本作的玩法了。
游戏还支持最多三人组队，三人海盗小队打天下，探索无穷碧海，收集建造海量船只、饰品，装备。同时游戏还推出赛季制，开服即为中国主题，全新的任务、装备，绝对会让海盗爱好者激动不已！
总之非常推荐喜爱海盗文化的玩家入手，值得一冲！

咖喱评分：8/10",推荐,,4 people found this review helpful 0
Xenu,24.0 hrs on record,"Posted: August 25
A few points to make:
1: I hate what Ubisoft has been up to in the past few years.
(If you don't know, Google/Youtube is your friend)
2: I hate Ubisoft's general releases on steam with:
2.1 -No Steam Achievements
2.2 -Late releases
2.3 -Terrible servers/No servers available at times to play games (Ghost Recon f.e.)
2.4 -DEI over a good storyline
2.5 -ETC
3: The CEO calling this a AAAA game is an absolute insult to the gaming industry as a whole.
4: Pricing, seriously, are you guys mad? (DLC specifically, but also the price of the game when it is not on sale)

It's all f****ng terrible, I agree, no argument there.
This review is however about this specific game, and positive as you've noticed.

The first trailer promised something amazing, but game never got made.
I lost interest when I took note of the fact this game wouldn't be what it promised it would be years ago.
This plus my dislike to the Ubisoft launcher made me not even bat an eye at the release of this game.
The current release on steam + sale made me have a fresh look, knowing I have a strong dislike towards the studio's choices as of the past few years.

I was hesitant to buy this game at €24,00,- , seeming my prejudice, but I don't regret my purchase.

To everyone who had expectations, like I did a few years back, before they pushed the release back further and further....
-No, this is not a Black Flag MMO
-No, this is not a good RPG

HOWEVER
I abandoned all hope for this game and expected it to not amount to anything, and what I found at €24 was a decent game.
A game where the third person aspect was underwhelming, sure.
Yet a game that kept me entertained with decent questlines, good progression, good sound, good graphics (could do with some upgrades at this point UBI, it's not ugly, but it isn't smooth for the level of graphics compared to any UE4/5 game) etc.

All in all, people b*tch because they didn't get what they want, because it's Ubisoft, and although I don't disagree, at the current sale (again, €24) it's worth it to me.
I hate buying Ubisoft because it supports them, but when something entertains me without insulting me for a few hours +, that's worth a small investment.

I'm actually enjoying it, though I hope Ubi takes some turns in the future patching this game, this DEI s**t (although not extremely strong, yet present in this game) isn't it.

TL;DR:
I don't disagree with any of the people ranting, you're right, there is problems at UBI, true.
however, if you don't expect a Black Flag upgrade, is pretty good for €24.
Don't buy it over that price because its not a AAAA game like Yves Guillemot would have you believe.
(Also no, AAAA isn't a thing, and if it were Ubisoft would be the last company to reach that level, everyone knows this)",推荐,,10 people found this review helpful 2
deanraynsford,16.9 hrs on record,"Posted: August 23
Does not work on steam deck. Controller won’t allow the changes required. Initial log in is a nightmare. If you only have a deck don’t bother.",推荐,,23 people found this review helpful 1
samwjohnson,0.3 hrs on record,"Posted: August 23
Crappy game",推荐,,"21 people found this review helpful
1 person found this review funny 0"
twitch.tv/dordoniplay,11.1 hrs on record,"Posted: August 27
Поклоники Корсаров одобрят",推荐,15 products in account,No one has rated this review as helpful yet 0
STEALTHxKILLZ,27.7 hrs on record,"Posted: August 27
Its ship combat only! which is fine just like Maelstrom there are pirate games where you have no land combat.The crybabies here posting about ""no land combat"" ""make blackflag again with good graphics"" well sorry its not what you want it clearly is no combat on land so go play blackflag or sea of thieves and let people enjoy the game for what it is.On sale for 24 bucks its fine and fun.The 1st 3 hours i meet other players and had fun,then my friends watched the stream i had going on and next thing i know they bought it and joined in the fun.It looks good and plays well only lost connection 1 time no different then a round of CoD.There is no pay to win or pay wall you just pay for season pass,skins or DLC .Most reviews have no time over 10 hours and the ones that do can talk their views they at least played far enough in the game to see some of what it offers.Go ahead and miss out listening to a bunch of crying ""we did not get what we wanted or think what a pirate game should be"" As I said before so what if there is no land combat the game was meant to be played like it is.....get over it!",推荐,,2 people found this review helpful 0
Konrad,49.7 hrs on record,"Posted: August 26
It's not the best game out there. But it is a pretty fun Pirate game.",推荐,,"1 person found this review helpful
1 person found this review funny 0"
Shadowking,8.8 hrs on record,"Posted: August 26
Absolutely Fun But highly Reccomend to play with others!",推荐,88 products in account,"No one has rated this review as helpful yet
1 person found this review funny 0"
Dirty Peter,31.0 hrs on record,"Posted: August 24
Good game if on sale AAAA feels alot like AAA",推荐,287 products in account,"2 people found this review helpful
3 people found this review funny 0"
Stefan,0.3 hrs on record,"Posted: August 26
Product refunded

Habe schon lange mit dem Spiel geliebäugelt und es nun geholt, da es im Angebot war. Den Rezensionen konnte man ja schon entnehmen, dass es den vollen Preis nicht Wert ist, mM nach ist es auch die 24,- nicht Wert, die ich bezahlt habe. Habe es daher wieder zurückgegeben. Ein einziges Arcade Geballer ohne Sinn und Verstand.",推荐,,5 people found this review helpful 0
JayDee4k,25.9 hrs on record,"Posted: August 26
This game is great kind of reminds me of AC Black Flag! Skull and Bones has stunning graphics with great gameplay, can’t go wrong for the current price, only thing I would say needs to be fixed/removed is the ship stamina as having ship stamina makes pretty much no sense in my opinion, do highly recommend grabbing this game during the sale if you enjoyed the sailing and naval combat aspect in Black Flag!",推荐,,"2 people found this review helpful
1 person found this review funny 2"
VIO,0.5 hrs on record,"Posted: August 23
bad graphics. Bad story. the pictures make it look so cool but it is so bad. my question is how? multiple good games where land combat ship combat and capturing ships was made so cool (the first one was black flag in 2013 which i replayed multiple times) but in 2024 this should not be called a game. it is not worth the price. i bought it on a 60% sale but still this was not good enough for that price. i have seen free games with better graphics. immediately refunded. how is it possible that a studio like UBISOFT can make such a sucker of a game.",推荐,83 products in account,2 people found this review helpful 0
TheMeatShovel,8.5 hrs on record,"Posted: August 25
This is the game I wanted them to make. A game based around the ship to ship combat from Black Flag. The only thing I wish it had was the hand to hand combat when your crew boards the other ships to loot.",推荐,,"6 people found this review helpful
1 person found this review funny 1"
Darkone84,41.2 hrs on record,"Posted: August 26
Im Happy! lol ;)",推荐,"1,010 products in account",1 person found this review helpful 0
xnxx,9.6 hrs on record,"Posted: August 25
ผมจะเป็นราชาโจรสลัด",推荐,33 products in account,2 people found this review helpful 0
cute_panda,11.8 hrs on record,"Posted: August 27
I don't get why people hate the game I think you guys just don't like games like Skull and Bones. This game is fun.",推荐,,2 people found this review helpful 0
Víctor UP,0.5 hrs on record,"Posted: August 24
NÃO CONSIGO JOGAR, MALDITA CONEXÃO ONLINE EU SÓ QUERO JOGAR DE BOA",推荐,,"4 people found this review helpful
5 people found this review funny 0"
Thisisnttony,9.2 hrs on record,"Posted: August 24
If you enjoyed the now 11 year old Assassins Creed Black Flag ship portions of the game, you will at least slightly enjoy Skull and Bones. I am sad to be comparing a new 2024 game to a 2013 game. But it is what it is, I'm having fun for the discounted price",推荐,,"50 people found this review helpful
22 people found this review funny 12"
TheBadAss,6.3 hrs on record,"Posted: August 26
J'avais déjà fait les différentes phases tests du jeu, poncé jusqu'au contenu maximum disponible à l'époque
Rien à redire, oui le développement a été plus que chaotique, mais pour avoir été très septique de SoT, ici on a un jeu qui permet le jeu solo comme coop, pve comme pvp, rien n'est imposé
Pas de pertes de temps de jeu, on peut développer son bateau à souhait, même si à mon goût on pourrait encore aller plus loin
Je n'ai pas croisé de bug mais je ferais un edit si besoin
le jeu tourne en ultra
c'est beau, pas autant qu'un Horizon Forbidden West ou un RDR2, mais il reste beau tout de même
niveau quêtes/histoire, ce n'est pas son point fort, il faut vraiment savourer l'open world plutôt que le côté quête histoire

Vraiment je ne sais pas trop quoi lui reprocher à part sa pauvreté sur le gameplay ""sol"", il est 90% marin, là où ça aurait pu être comme un Black Flag avec des combats terrestres aussi

ENFIN !
Oui je le recommande, surtout en promo",推荐,,"2 people found this review helpful
1 person found this review funny 1"
Cyberaapje,64.8 hrs on record,"Posted: August 26
To be honest, I found this game a little disappointing and too arcade-like at the beginning. But I've already got 58 hours into it since the game came out on Steam, so apparently it's quite fun. Wish it had land combat though, no swords and pistol fights :(

I bought the version with the season pass because, well, if you are going to play a live service game (e.g. Diablo 4), you will of course miss out on a lot if you don't. This game goes one step further because I obtained the new seasons weapons (not blueprints you have to craft) through that season pass.

I assume that the blueprint of the new ship is free for everyone, but you will have grind to get the weapons blueprint and craft them without. Not that it matters much, it just takes longer and you can't avoid the end-game grind anyway. (I am currently grinding for gear i missed in the first two seasons and to level up my ship).

And off course trying to get my empire up and running by manufacturing and selling booze and drugs, I love the empire management aspect of the game lol.",推荐,"1,034 products in account","2 people found this review helpful
1 person found this review funny 0"
𝖘𝖕𝖆𝖗𝖙𝖆,17.8 hrs on record,"Posted: August 26
Skull and Bones may have faced a lot of skepticism and criticism, but I found it to be a surprisingly enjoyable experience. While it might not have lived up to everyone's expectations, the game offers a unique blend of naval combat and exploration that's both engaging and entertaining. The ship customization and strategic elements make every battle feel rewarding.—this game’s a blast!",推荐,44 products in account,"1 person found this review helpful
1 person found this review funny 0"
